id,checkpoint,description,lecturer,videourl,objective,Question,Answer,position,mediafire,tags,lesson,topic,seab,subject
155,Effects Of PE,Here we see how some of the effects of positive externalities on our society.,openlectures,http://youtu.be/ww8eGOArezc,Understand some of the effects of positive externalities,Think about the effects on other parties such as the government and firms,Or even on the environment!,10,http://www.mediafire.com/?1f7joe8u90fckk4,,Externalities,Market Failure,Market Failure,Economics
156,The Government Thinks That...,What's difference between externalities and merit/demerit goods? Here we identify the clear definitions and classifications of each.,openlectures,http://youtu.be/3ZTdwDGl-z8,Define demerit and merit goods,What's the main difference between a good that produces negative externality and a demerit good?,Think about on whom the main effect of each good is acting on,1,http://www.mediafire.com/?toyjrvxpapqme2b,,Merit and Demerit Goods,Market Failure,Market Failure,Economics
157,This Is Bad For You,Demerit goods have certain implications and effects on the market - here we take a look at them.,openlectures,http://youtu.be/_SHq6CyOeFU,Understand the effects and implications of demerit goods,What is the main factor that causes a demerit good to be overconsumed or a merit good to be underconsumed?,Individuals need certain inputs in order to make decisions. Are any of them missing ?,2,http://www.mediafire.com/?ufd43j7e8hafzta,,Merit and Demerit Goods,Market Failure,Market Failure,Economics
158,This Is Good For You,Merit goods too affect the market in a similar way - yet in a different direction. ,openlectures,http://youtu.be/eqoBczHrWRA,Understand the effects and implications of merit goods,What are some merit goods you can think of?,What about seat belts?,3,http://www.mediafire.com/?rgd2cjcq33jsdai,,Merit and Demerit Goods,Market Failure,Market Failure,Economics
159,Public Goods,Here we define what a public good is and how we can identify it in the market,openlectures,http://youtu.be/FbsLB5lhlpc,Define public goods and provide examples of public goods,How do we define a public good?,Think about the conditions necessary fora good to be considered a public good? A public good is a good that is primarily non-rivalrous and also non-excludable,1,http://www.mediafire.com/?ix8omyvbm1fh9z7,,Public Goods,Market Failure,Market Failure,Economics
160,Non-Rivalry,Non-rivalry is one of the strict conditions that guide the identfication of public goods as well as explanation of why markets don't provide them- here we see how it's defined,openlectures,http://youtu.be/_chu0nLTlcw,Define non-rivalry,Think of some goods that are non-rivalrous - list out a few examples.,Non-rivalrous means that the good does not diminish in supply with one additional consumer. These goods are actually much more common than you think. What about knowledge? Or software for example. Or perhaps what openlectures is doing with education.,2,http://www.mediafire.com/?w97rwkm9c4uwlgp,,Public Goods,Market Failure,Market Failure,Economics
161,Non-Excludability,Non-excludability is the second condition that affects how public goods are troublesome for firms to produce. Here we see how to explain the concept,openlectures,http://youtu.be/cIprJokXwgE,Define non-excludability,Think of some goods that are non-excludable - list out a few examples,Non-excludable means that a consumer cannot be stopped from consuming the good. Think about free-to-air TV shows! Anyone tuning in to the show can enjoy it for free.,3,http://www.mediafire.com/?rj74kxr709dhid0,,Public Goods,Market Failure,Market Failure,Economics
162,Weighing In A Failed Market,Public goods is a complex issue. There are innovative solutions to the problem as well as alternative understandings of the issue. ,openlectures,http://youtu.be/84wMhrNec-c,Understand solutions and alternatives to public goods,Go read up more on public goods and the solutions that people have for them.,"For starters, try Googling ""Coase Theorem""",4,http://www.mediafire.com/?2ligchsd6z6esls,,Public Goods,Market Failure,Market Failure,Economics
163,Big Bullies,We've touched on imperfect competition before. Here we delve deeper into how it affects markets and affects efficiency.,openlectures,http://youtu.be/CxtPmynkdfg,Understand how imperfect competition leads to market failure,What are the main causes of imperfect competition?,"Barriers to Entry, Number fo Firms, Imperfect Information, Immobility of Factors of Production, Unfair Advantages etc.",1,http://www.mediafire.com/?6q6bvcc1tp7ut3e,,Imperfect Competition,Market Failure,Market Failure,Economics
164,Effect On Allocative Efficiency,The first effect is allocative inefficiency - imperfect competition distorts the market and can cause less goods to be produced than society deems necessary,openlectures,http://youtu.be/_QAetQDI-WA,Understand how imperfect competition causes allocative inefficiency,Why is allocative inefficiency a problem / market failure?,The amount of goods excahanged is less than society desires. Consumers struggle with usually higher prices and governments have to consider using subsidies/taxes which will cause more policy discussions and possible costs on government.,2,http://www.mediafire.com/?u76ec9140vd6v94,,Imperfect Competition,Market Failure,Market Failure,Economics
165,Effect On Productive Efficiency,Productive ineffiency is another effect caused by imperfect competition - firms don't produce at the MES ,openlectures,http://youtu.be/gR8eYgup3aU,Understand how imperfect competition causes productive inefficiency,Why is productive inefficiency a problem / market failure?,"Not all factors of production are being used to their maxium potential, causing wastage and possible higher costs to society. Firms lose out on technlogically advanced processes that could improve production levels and lower costs, consumers may be exposed to higher prices derived out of higher costs.",3,http://www.mediafire.com/?85a6yrdyjibjor2,,Imperfect Competition,Market Failure,Market Failure,Economics
166,Big Friendly Giant?,Is imperfect competition really a market failure? Or is it a failure of ours to truly understand the market? These are some of the discussions to ponder on,openlectures,http://youtu.be/cHBHX3KksJs,Understand that imperfect competition is not universally bad,So do you think that imperfect competition is still as much of an evil as we initially made it out to be?,"Opponents of anti-trust laws often state that a monopoly exists precisely because it has been well managed. In that case, its size is just a reward for its good strategies. Busting monopolies creates disincentive for proper management of firms. Then it is counter productive.",4,http://www.mediafire.com/?1h60285qzm126p4,,Imperfect Competition,Market Failure,Market Failure,Economics
167,Oiling The Gears,Most of us forget about the oil between the gears of the market - information and mobility of factors of production. Here we take a look at how they affect it.,openlectures,http://youtu.be/WUPv6XKDCGI,Understand the importance of information and mobility in the market,Can you think of one scenario where lack of information has caused difficulties for you?,Hint: not remembering how to define market failure during an exam is not due to lack of information on the market.,1,,,Information and Mobility,Market Failure,Market Failure,Economics
168,Imperfect Information,"Imperfect information involves barriers to complete information, restriction from sharing and other blockades to a wholesome understanding of the market. These can affect allocation of resources and production ability - affecting the market. ",openlectures,http://youtu.be/V_coo4DzF3A,Understand the effect of imperfect information on the market,What are some of the ways imperfect information can affect markets?,Individuals with imperfect information don't make decisions based on complete costs and benefits - under-consumption or over-consumption occur. Firms with imperfect information don't use best practices that could lower costs.,2,,,Information and Mobility,Market Failure,Market Failure,Economics
